FATALITY_ID,EVENT_ID,FATALITY_TYPE,FATALITY_DATE,FATALITY_AGE,FATALITY_SEX,FATALITY_LOCATION
36119,786922,D,09/17/2018 00:00:00,60,M,Business
36136,787252,D,09/26/2018 00:00:00,61,F,Outside/Open Areas
36139,787800,D,09/16/2018 00:00:00,0,M,Mobile/Trailer Home
36140,787816,I,09/15/2018 00:00:00,61,F,Vehicle/Towed Trailer
36141,787817,D,09/09/2018 00:00:00,49,M,Other
36142,787817,D,09/09/2018 00:00:00,41,F,Other
36144,787887,D,09/16/2018 00:00:00,1,M,Vehicle/Towed Trailer
36145,787914,D,09/17/2018 00:00:00,88,M,Vehicle/Towed Trailer
36146,787921,D,09/18/2018 00:00:00,46,F,Vehicle/Towed Trailer
35538,743632,D,05/04/2018 00:00:00,36,M,Under Tree
35341,746849,D,05/21/2018 00:00:00,,F,In Water
36824,764407,D,06/25/2018 00:00:00,14,M,Camping
36809,784380,D,07/04/2018 00:00:00,,M,Outside/Open Areas
36074,784961,I,09/14/2018 00:00:00,61,,Permanent Home
36075,784961,I,09/14/2018 00:00:00,63,,Permanent Home
36124,784963,D,09/16/2018 00:00:00,81,M,Vehicle/Towed Trailer
36125,784966,D,09/15/2018 00:00:00,45,F,Vehicle/Towed Trailer
36126,784966,D,09/15/2018 00:00:00,43,F,Vehicle/Towed Trailer
36123,784975,D,09/16/2018 00:00:00,23,M,Vehicle/Towed Trailer
36122,786489,D,09/15/2018 00:00:00,83,,Vehicle/Towed Trailer
36121,786498,D,09/15/2018 00:00:00,51,F,Vehicle/Towed Trailer
36120,786794,D,09/15/2018 00:00:00,71,M,Vehicle/Towed Trailer
36127,786993,I,09/25/2018 00:00:00,85,M,Outside/Open Areas
34676,727673,D,01/03/2018 00:00:00,75,M,Outside/Open Areas
35288,727674,D,01/03/2018 00:00:00,88,F,Outside/Open Areas
34680,727675,D,01/01/2018 00:00:00,27,F,Outside/Open Areas
34681,727697,I,01/10/2018 00:00:00,35,M,Vehicle/Towed Trailer
34824,727703,D,01/17/2018 00:00:00,52,F,Outside/Open Areas
35224,736999,D,01/02/2018 00:00:00,,,Outside/Open Areas
35226,737000,D,01/02/2018 00:00:00,,,Outside/Open Areas
35228,737656,D,01/16/2018 00:00:00,,M,Outside/Open Areas
35227,739886,D,01/02/2018 00:00:00,,,Outside/Open Areas
35232,739887,D,01/17/2018 00:00:00,82,F,Outside/Open Areas
35022,733846,D,01/05/2018 00:00:00,46,F,Outside/Open Areas
35270,738582,D,02/24/2018 00:00:00,83,M,Mobile/Trailer Home
35287,743753,I,02/20/2018 00:00:00,52,F,In Water
35369,747628,D,02/24/2018 00:00:00,38,F,Boating
35076,726052,D,01/01/2018 00:00:00,52,F,Outside/Open Areas
34623,726215,I,01/04/2018 00:00:00,20,M,Vehicle/Towed Trailer
34618,726225,I,01/04/2018 00:00:00,29,M,Vehicle/Towed Trailer
34619,726403,D,01/01/2018 00:00:00,49,M,Outside/Open Areas
34620,726404,D,01/01/2018 00:00:00,,M,Outside/Open Areas
34622,726483,D,01/03/2018 00:00:00,21,M,In Water
34626,726786,I,01/08/2018 00:00:00,56,M,Vehicle/Towed Trailer
34631,727203,I,01/12/2018 00:00:00,,M,Outside/Open Areas
34926,727233,D,01/12/2018 00:00:00,18,F,Vehicle/Towed Trailer
34927,727233,D,01/12/2018 00:00:00,56,M,Vehicle/Towed Trailer
35083,727488,D,01/17/2018 00:00:00,69,M,Outside/Open Areas
35084,727488,D,01/17/2018 00:00:00,57,F,Outside/Open Areas
34649,727604,I,01/18/2018 00:00:00,26,M,Vehicle/Towed Trailer
34686,727985,D,01/21/2018 00:00:00,27,M,Outside/Open Areas
34687,728128,I,01/21/2018 00:00:00,60,M,Vehicle/Towed Trailer
34688,728269,I,01/11/2018 00:00:00,82,F,Vehicle/Towed Trailer
35014,728565,D,01/12/2018 00:00:00,82,M,Outside/Open Areas
34923,729040,I,01/24/2018 00:00:00,25,M,Outside/Open Areas
34941,730198,I,01/26/2018 00:00:00,26,F,In Water
34968,731057,I,01/13/2018 00:00:00,31,F,Vehicle/Towed Trailer
34992,731598,D,01/04/2018 00:00:00,65,F,Outside/Open Areas
34991,731599,D,01/03/2018 00:00:00,57,F,Outside/Open Areas
34990,731600,D,01/03/2018 00:00:00,96,F,Outside/Open Areas
